pool,dataset,model,seed,nl,wss95
RQ1,Pijls_2018,C2a_SciBERT_SVM,44,0.3068,0.2647
RQ1,Pijls_2018,C2a_SciBERT_SVM,45,0.3068,0.2647
RQ1,Pijls_2018,C2a_SciBERT_SVM,46,0.3068,0.2647
RQ1,Tumkaya_2018,C2a_SciBERT_SVM,42,0.2938,0.2024
RQ1,Tumkaya_2018,C2a_SciBERT_SVM,43,0.2938,0.2024
RQ1,Tumkaya_2018,C2a_SciBERT_SVM,44,0.2938,0.2024
RQ1,Tumkaya_2018,C2a_SciBERT_SVM,45,0.2938,0.2024
RQ1,Tumkaya_2018,C2a_SciBERT_SVM,46,0.2938,0.2024
RQ1,Rinne_2021,C2a_SciBERT_SVM,42,0.3484,0.1489
RQ1,Rinne_2021,C2a_SciBERT_SVM,43,0.3484,0.1489
RQ1,Rinne_2021,C2a_SciBERT_SVM,44,0.3484,0.1489
RQ1,Rinne_2021,C2a_SciBERT_SVM,45,0.3484,0.1489
RQ1,Rinne_2021,C2a_SciBERT_SVM,46,0.3484,0.1489
RQ1,Pinos-Cisneros_2023,C2a_SciBERT_SVM,42,0.3191,0.1123
RQ1,Pinos-Cisneros_2023,C2a_SciBERT_SVM,43,0.3191,0.1123
RQ1,Pinos-Cisneros_2023,C2a_SciBERT_SVM,44,0.3191,0.1123
RQ1,Pinos-Cisneros_2023,C2a_SciBERT_SVM,45,0.3191,0.1123
RQ1,Pinos-Cisneros_2023,C2a_SciBERT_SVM,46,0.3191,0.1123
RQ1,Abgaz_2023,C2a_SciBERT_SVM,42,0.2946,0.3006
RQ1,Abgaz_2023,C2a_SciBERT_SVM,43,0.2946,0.3006
RQ1,Abgaz_2023,C2a_SciBERT_SVM,44,0.2946,0.3006
RQ1,Abgaz_2023,C2a_SciBERT_SVM,45,0.2946,0.3006
RQ1,Abgaz_2023,C2a_SciBERT_SVM,46,0.2946,0.3006
RQ1,Erer_2015,C2a_SciBERT_SVM,42,0.3705,0.2695
RQ1,Erer_2015,C2a_SciBERT_SVM,43,0.3705,0.2695
RQ1,Erer_2015,C2a_SciBERT_SVM,44,0.3705,0.2695
RQ1,Erer_2015,C2a_SciBERT_SVM,45,0.3705,0.2695
RQ1,Erer_2015,C2a_SciBERT_SVM,46,0.3705,0.2695
RQ1,Demirkaya_2015,C2a_SciBERT_SVM,42,0.0672,0.6719
RQ1,Demirkaya_2015,C2a_SciBERT_SVM,43,0.0672,0.6719
RQ1,Demirkaya_2015,C2a_SciBERT_SVM,44,0.0672,0.6719
RQ1,Demirkaya_2015,C2a_SciBERT_SVM,45,0.0672,0.6719
RQ1,Demirkaya_2015,C2a_SciBERT_SVM,46,0.0672,0.6719
RQ1,Leenaars_2020,C2a_SciBERT_SVM,42,0.198,0.3848
RQ1,Leenaars_2020,C2a_SciBERT_SVM,43,0.198,0.3848
RQ1,Leenaars_2020,C2a_SciBERT_SVM,44,0.198,0.3848
RQ1,Leenaars_2020,C2a_SciBERT_SVM,45,0.198,0.3848
RQ1,Leenaars_2020,C2a_SciBERT_SVM,46,0.198,0.3848
RQ1,Eggmann_2023,C2a_SciBERT_SVM,42,0.3689,0.1203
RQ1,Eggmann_2023,C2a_SciBERT_SVM,43,0.3689,0.1203
RQ1,Eggmann_2023,C2a_SciBERT_SVM,44,0.3689,0.1203
RQ1,Eggmann_2023,C2a_SciBERT_SVM,45,0.3689,0.1203
RQ1,Eggmann_2023,C2a_SciBERT_SVM,46,0.3689,0.1203
RQ1,Greca_2023,C3_GAT_only,42,0.2855,0.2054
RQ1,Greca_2023,C3_GAT_only,43,0.2749,0.2828
RQ1,Greca_2023,C3_GAT_only,44,0.258,0.3051
RQ1,Greca_2023,C3_GAT_only,45,0.2867,0.2604
RQ1,Greca_2023,C3_GAT_only,46,0.2859,0.3
RQ1,Pijls_2018,C3_GAT_only,42,0.3837,0.2518
RQ1,Pijls_2018,C3_GAT_only,43,0.4406,0.2149
RQ1,Pijls_2018,C3_GAT_only,44,0.3532,0.2797
RQ1,Pijls_2018,C3_GAT_only,45,0.4252,0.2528
RQ1,Pijls_2018,C3_GAT_only,46,0.3723,0.2647
RQ1,Tumkaya_2018,C3_GAT_only,42,0.3205,0.1567
RQ1,Tumkaya_2018,C3_GAT_only,43,0.333,0.1317
RQ1,Tumkaya_2018,C3_GAT_only,44,0.3045,0.1927
RQ1,Tumkaya_2018,C3_GAT_only,45,0.3116,0.115
RQ1,Tumkaya_2018,C3_GAT_only,46,0.3049,0.1525
RQ1,Rinne_2021,C3_GAT_only,42,0.3937,0.1041
RQ1,Rinne_2021,C3_GAT_only,43,0.3576,0.1228
RQ1,Rinne_2021,C3_GAT_only,44,0.3937,0.1086
RQ1,Rinne_2021,C3_GAT_only,45,0.3514,0.1415
RQ1,Rinne_2021,C3_GAT_only,46,0.3227,0.163
RQ1,Pinos-Cisneros_2023,C3_GAT_only,42,0.3697,0.0596
